iter	Passed	Remaining
0	58	58676
1	59	29518
2	59	19837
3	60	14957
4	60	12018
5	60	10061
6	61	8659
7	61	7608
8	61	6811
9	62	6158
10	62	5623
11	62	5175
12	63	4796
13	63	4481
14	63	4198
15	64	3951
16	64	3733
17	64	3538
18	65	3366
19	65	3212
20	65	3071
21	66	2946
22	66	2837
23	67	2728
24	67	2630
25	67	2537
26	68	2452
27	68	2372
28	68	2298
29	68	2229
30	69	2164
31	69	2104
32	69	2047
33	70	1993
34	70	1942
35	70	1895
36	71	1849
37	71	1807
38	71	1767
39	72	1730
40	72	1692
41	72	1656
42	72	1623
43	73	1591
44	73	1560
45	73	1531
46	74	1503
47	74	1475
48	74	1450
49	75	1425
50	75	1401
51	75	1378
52	75	1355
53	76	1334
54	76	1313
55	76	1292
56	76	1273
57	77	1255
58	77	1237
59	77	1219
60	78	1203
61	78	1188
62	78	1174
63	79	1158
64	79	1144
65	79	1129
66	80	1116
67	80	1102
68	80	1089
69	81	1076
70	81	1064
71	81	1052
72	81	1040
73	82	1028
74	82	1019
75	82	1008
76	83	997
77	83	987
78	83	977
79	84	967
80	84	957
81	84	948
82	84	936
83	85	927
84	85	919
85	85	910
86	85	902
87	86	893
88	86	885
89	86	878
90	87	870
91	87	862
92	87	854
93	87	847
94	88	839
95	88	832
96	88	826
97	89	819
98	89	812
99	89	805
100	89	799
101	90	792
102	90	786
103	90	780
104	91	777
105	91	773
106	91	767
107	92	762
108	92	757
109	92	751
110	93	745
111	93	740
112	93	735
113	93	729
114	94	724
115	94	719
116	94	713
117	94	708
118	95	703
119	95	698
120	95	694
121	96	690
122	96	686
123	96	682
124	96	677
125	97	673
126	97	668
127	97	664
128	97	660
129	98	656
130	98	652
131	98	648
132	98	644
133	99	640
134	99	636
135	99	633
136	100	630
137	100	627
138	100	623
139	100	619
140	101	616
141	101	612
142	101	608
143	101	605
144	102	602
145	102	598
146	102	595
147	103	593
148	103	590
149	103	587
150	104	585
151	104	582
152	104	579
153	105	576
154	105	574
155	105	572
156	106	569
157	106	566
158	106	564
159	106	561
160	107	557
161	107	555
162	107	552
163	107	550
164	108	547
165	108	545
166	108	542
167	109	541
168	109	538
169	109	536
170	110	533
171	110	531
172	110	529
173	111	528
174	111	525
175	111	523
